"filename", "language", "Python", "pip requirements", "JSON", "JavaScript", "CSS", "HTML", "XML", "Markdown", "comment", "blank", "total"
"/Users/mcc_311/Desktop/work/FireControlv2/problems/serializers.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12
"/Users/mcc_311/Desktop/work/FireControlv2/problems/solver.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 1, 6, 43
"/Users/mcc_311/Desktop/work/FireControlv2/problems/tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/Users/mcc_311/Desktop/work/FireControlv2/problems/views.py", "Python", 103, 0, 0, 0, 0, 0, 0, 0, 1, 16, 120
"/Users/mcc_311/Desktop/work/FireControlv2/requirements.txt", "pip requirements", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/mcc_311/Desktop/work/FireControlv2/ships/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mcc_311/Desktop/work/FireControlv2/ships/admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/Users/mcc_311/Desktop/work/FireControlv2/ships/apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/mcc_311/Desktop/work/FireControlv2/ships/migrations/0001_initial.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 1, 7, 26
"/Users/mcc_311/Desktop/work/FireControlv2/ships/migrations/0002_ship_belongsto.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/Users/mcc_311/Desktop/work/FireControlv2/ships/migrations/0003_auto_20220918_0741.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"/Users/mcc_311/Desktop/work/FireControlv2/ships/migrations/0004_ship_defaultweapons.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/Users/mcc_311/Desktop/work/FireControlv2/ships/migrations/0005_alter_ship_defaultweapons.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/Users/mcc_311/Desktop/work/FireControlv2/ships/migrations/0006_alter_ship_defaultweapons.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/Users/mcc_311/Desktop/work/FireControlv2/ships/migrations/0007_auto_20220919_1142.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
"/Users/mcc_311/Desktop/work/FireControlv2/ships/migrations/0008_auto_20220919_1144.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"/Users/mcc_311/Desktop/work/FireControlv2/ships/migrations/0009_rename_options_ship_options.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/Users/mcc_311/Desktop/work/FireControlv2/ships/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mcc_311/Desktop/work/FireControlv2/ships/models.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 1, 2, 22
"/Users/mcc_311/Desktop/work/FireControlv2/ships/serializers.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12
"/Users/mcc_311/Desktop/work/FireControlv2/ships/tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/Users/mcc_311/Desktop/work/FireControlv2/ships/views.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/mcc_311/Desktop/work/FireControlv2/weapons/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mcc_311/Desktop/work/FireControlv2/weapons/admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/Users/mcc_311/Desktop/work/FireControlv2/weapons/apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/mcc_311/Desktop/work/FireControlv2/weapons/migrations/0001_initial.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 1, 7, 22
"/Users/mcc_311/Desktop/work/FireControlv2/weapons/migrations/0002_auto_20220918_1639.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 1, 6, 35
"/Users/mcc_311/Desktop/work/FireControlv2/weapons/migrations/0003_weapon_cost.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/Users/mcc_311/Desktop/work/FireControlv2/weapons/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mcc_311/Desktop/work/FireControlv2/weapons/models.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"/Users/mcc_311/Desktop/work/FireControlv2/weapons/serializers.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13
"/Users/mcc_311/Desktop/work/FireControlv2/weapons/tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/Users/mcc_311/Desktop/work/FireControlv2/weapons/views.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"Total", "-", 914, 5, 29688, 239, 46, 21, 1, 38, 141, 356, 31449
